,cape,ensemble_mean_lwe_thickness_of_precipitation_amount,ensemble_std_lwe_thickness_of_precipitation_amount,integral_of_surface_downwelling_shortwave_flux_in_air_assuming_clear_sky_wrt_time,lwe_thickness_of_convective_precipitation_amount,lwe_thickness_of_precipitation_amount,wind_speed,target
821778,550.6875,0.005375105,0.0033616677,2.9743118e+07,0.0030349195,0.0051969757080078125,18.884665,0.0074
821779,498.5,0.018632522,0.0064718765,2.9643924e+07,0.0043384596,0.013565607070922851,18.738628,0.022699999999999998
821780,501.5625,0.015633825,0.005391578,2.9585984e+07,0.008821424,0.02076521301269531,18.215933,0.040600000000000004
821781,907.3125,0.009471902,0.004428742,2.9548494e+07,0.008992637,0.012982588768005371,17.485611,0.0046
821782,220.875,0.016284166,0.011818355,2.9790776e+07,0.0018714815,0.006111090660095215,19.890244,0.016399999999999998
821783,445.375,0.017397745,0.0073457537,2.9722812e+07,0.0035799325,0.010884968757629395,19.611214,0.0078
821784,508.625,0.022271475,0.014054856,2.9766814e+07,0.003067671,0.012129644393920898,20.00606,0.006
821785,550.6875,0.005375105,0.0033616677,2.9754032e+07,0.0030349195,0.0051969757080078125,18.939589,0.0
821786,550.6875,0.005375105,0.0033616677,2.9755172e+07,0.0030349195,0.0051969757080078125,18.967115,0.0038
821787,198.625,0.014759106,0.008246149,3.0059516e+07,0.0033005716,0.01505713939666748,12.654611,0.0058
